-73.948418,40.72459
-73.997414,40.736156
-73.967171,40.764236
-73.789757,40.646526
-73.99955,40.731152
-73.993698,40.736946
-74.006058,40.739925
-73.874245,40.773739
-74.004868,40.751656
-73.95546,40.787731
-73.992805,40.741417
-73.951843,40.773678
-74.003517,40.732494
-73.985153,40.719158
-73.981865,40.775318
-74.004601,40.740673
-73.999512,40.728336
-74.004852,40.746834
-74.009186,40.713356
-73.971107,40.762836
-73.969048,40.79076
-73.871056,40.773521
-73.962936,40.769436
-73.995872,40.738789
-73.975128,40.789974
-73.98349,40.766018
-73.992271,40.749367
-73.936447,40.817516
-73.999428,40.712158
-74.000824,40.737251
-73.95256,40.714298
-74.002014,40.750805
-73.977303,40.779507
-73.961273,40.774784
-73.977219,40.749634
-73.963303,40.798477
0.0,0.0
-73.991104,40.750191
-73.982285,40.757618
-74.010765,40.716282
-73.969238,40.797966
-73.956001,40.776157
-73.998383,40.724606
-73.996078,40.73214
-73.976303,40.785854
-73.956703,40.717289
-73.953636,40.771008
0.0,0.0
-73.974319,40.763157
-73.998672,40.734123
-73.959862,40.813721
-73.871223,40.773987
-73.978676,40.75016
-73.98938,40.720375
-73.999496,40.743977
-73.988152,40.71841
-73.981667,40.75695
-73.985504,40.727238
-73.988998,40.730885
-73.970818,40.796089
-74.012184,40.701618
-73.97998,40.770767
-73.997475,40.726013
-73.985825,40.726784
-74.00071,40.74646
-73.994003,40.744415
-73.996529,40.753227
-73.789642,40.646881
-74.00386,40.742996
-73.98774,40.732708
-74.005791,40.726059
-73.986664,40.737751
-73.942314,40.784332
-73.957512,40.77383
-73.987297,40.750538
-73.971771,40.749722
-73.990807,40.736393
0.0,0.0
-73.991104,40.733974
-73.946663,40.788815
-73.963539,40.765739
-73.862709,40.769009
-73.974564,40.751968
-74.009377,40.715614
-73.994026,40.76152
-73.997482,40.736591
-73.98468,40.728516
-73.968803,40.760757
-73.870911,40.773762
-73.974632,40.756687
-73.987358,40.718475
-73.992668,40.749866
-73.972244,40.747395
-73.992088,40.738529
-73.986511,40.760921
-73.862785,40.769073
-73.975243,40.787754
-73.95488,40.773518
-73.954773,40.767281
-73.995094,40.749603
